option,gender,c-td,c-index,auc
"{'nodes': [10], 'lr_rate': 0.01, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 104}",female,0.6053,0.8791,0.8643
"{'nodes': [10, 20], 'lr_rate': 0.01, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 105}",female,0.4579,0.8486,0.8346
"{'nodes': [10, 20, 40], 'lr_rate': 0.01, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 106}",female,0.391,0.792,0.7788
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.01, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 107}",female,0.5555,0.8267,0.8144
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.01, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 108}",female,0.6264,0.9227,0.9064
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.01, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 109}",female,0.5392,0.7989,0.7875
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.01, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 110}",female,0.5129,0.8448,0.8320000000000001
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.01, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 111}",female,0.5324,0.9348,0.9159
"{'nodes': [10], 'lr_rate': 0.01, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 112}",female,0.3455,0.74,0.7305
"{'nodes': [10, 20], 'lr_rate': 0.01, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 113}",female,0.3902,0.8177,0.8049
"{'nodes': [10, 20, 40], 'lr_rate': 0.01, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 114}",female,0.3728,0.8556,0.8416
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.01, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 115}",female,0.4754,0.8199,0.8071
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.01, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 116}",female,0.6247,0.8677,0.8538
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.01, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 117}",female,0.5735,0.8954,0.8788
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.01, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 118}",female,0.3743,0.8285,0.8148
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.01, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 119}",female,0.35700000000000004,0.4925,0.5496
"{'nodes': [10], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 0}",female,0.4519,0.7928,0.7818
"{'nodes': [10, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 1}",female,0.4507,0.9096,0.8927
"{'nodes': [10, 20, 40], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 2}",female,0.5809,0.898,0.8822
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 3}",female,0.4221,0.9582,0.9379
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 4}",female,0.5517,0.9697,0.9496
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 5}",female,0.4865,0.8624,0.8475
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 6}",female,0.5172,0.9052,0.8904
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 7}",female,0.4623,0.8836,0.8693
"{'nodes': [10], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 8}",female,0.4235,0.9361,0.9177
"{'nodes': [10, 20], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 9}",female,0.5442,0.8783,0.8639
