option,gender,c-td,c-index,auc
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.005, 'index': 108}",female,0.5191,0.8994,0.8826
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.001, 'index': 109}",female,0.4332,0.9684,0.9481
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.0005, 'index': 110}",female,0.5647,0.9161,0.9003
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.0001, 'index': 111}",female,0.5875,0.9385,0.9206
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.1, 'index': 112}",female,0.5483,0.9633,0.9436
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.05, 'index': 113}",female,0.6633,0.8778,0.8638
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.01, 'index': 114}",female,0.5436,0.9556,0.9368
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.005, 'index': 115}",female,0.4914,0.9472,0.9289
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.001, 'index': 116}",female,0.5865,0.9553,0.9361
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.0005, 'index': 117}",female,0.6489,0.9567,0.9372
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.0001, 'index': 118}",female,0.4354,0.8729,0.858
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.1, 'index': 119}",female,0.5214,0.9303,0.9124
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.05, 'index': 120}",female,0.5874,0.9659,0.9473
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.01, 'index': 121}",female,0.4754,0.8977,0.8809
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.005, 'index': 122}",female,0.5983,0.9267,0.9094
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.001, 'index': 123}",female,0.4006,0.894,0.8768
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.0005, 'index': 124}",female,0.5576,0.8469,0.8337
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.0001, 'index': 125}",female,0.5784,0.9402,0.922
